,0
TotalTransactions,0.08619146717880742
Frequency,0.07967872781779349
AvgDaysBetweenPurchases,0.07273157417958441
MonetaryTotal,0.07211704441997381
TotalQuantity,0.06799014397707223
RegYear,0.05456164590302629
UniqueProducts,0.05218698720096049
RegMonth,0.05082519253794478
AvgBasketValue,0.0359583756549991
MonetaryMin,0.03351786035287819
RegDay,0.03260005101317058
AvgQuantityPerTransaction,0.02969241554415603
MonetaryAvg,0.028223209346262653
MonetaryStd,0.027608840417956308
MonetaryMax,0.027024089549389944
AvgLinesPerInvoice,0.025103983052970118
DiversityPerTrans,0.02424179120681892
MaxQuantity,0.02417593570207079
AvgProductsPerTransaction,0.024017626642865716
Age,0.019483434882198288
PreferredHour,0.013734689670763441
MinQuantity,0.013315875749788672
PreferredDayOfWeek,0.012914049772950253
RegWeekday,0.012761761005566967
SupportTicketsCount,0.011149306006558375
SatisfactionScore,0.011064527044013908
ReturnRatio,0.010905229539977588
AgeCategory,0.010482707454860454
WeekendPurchaseRatio,0.009268684662707152
CancelledTransactions,0.006683580297149546
NegativeQuantityCount,0.006276803104519761
PreferredTimeOfDay,0.005555991801427959
Country_encoded,0.004684099170897873
BasketSizeCategory,0.0031933217289095593
ZeroPriceCount,5.7359883135117015e-05
IP_IsPrivate,2.1616525873801788e-05
UniqueCountries,0.0
