feature,VIF
Frequency,inf
CancelledTransactions,inf
UniqueInvoices,inf
NegativeQuantityCount,inf
FirstPurchaseDaysAgo,354001.653237417
CustomerTenureDays,193007.1930424942
Recency,100677.85672449718
UniqueDescriptions,15795.878645749428
UniqueProducts,15680.44258589224
RegYear,857.139450611077
UniqueCountries,600.3229947673715
MonetaryMin,427.1265389704618
MonetaryMax,425.4671078055847
PreferredHour,233.82101408198406
MaxQuantity,146.22449276260636
MinQuantity,120.85848426599198
MonetaryStd,106.61817288546486
DiversityPerTrans,92.58396294140903
AvgProductsPerTransaction,90.68597468330181
AvgLinesPerInvoice,75.60647041824598
Country_encoded,37.34190783952528
LoyaltyLevel,24.577620671413737
Age,21.94656781823045
SpendingCategory,19.421991449545665
PreferredTimeOfDay,18.54151602479311
TotalTransactions,11.01501925479304
ChurnRiskCategory,8.69570360655848
AgeCategory,8.675028903345304
TotalQuantity,8.179517937935413
PreferredMonth,8.093386791668552
MonetaryTotal,7.046735521207942
AvgBasketValue,6.511579407242099
BasketSizeCategory,5.648039218760837
MonetaryAvg,5.212706185757707
PreferredDayOfWeek,5.163711078734757
SatisfactionScore,5.068172110438199
RegMonth,4.876234386312373
RegDay,4.411364854580218
RegWeekday,3.327672886856202
AvgQuantityPerTransaction,3.292548979297699
SupportTicketsCount,3.0912115461273504
WeekendPurchaseRatio,2.256848449069475
ReturnRatio,1.4522202946410419
AvgDaysBetweenPurchases,1.4386233760367426
ZeroPriceCount,1.1765921194263005
IP_IsPrivate,1.010234008452478
