feature,VIF
Age,19.656364797481395
Country_encoded,17.797767743883185
AgeCategory,8.606209177205649
UniqueProducts,8.265253025665228
TotalQuantity,7.345750154191903
MonetaryTotal,6.574280137529941
TotalTransactions,6.573618584834858
Frequency,5.331031323115167
PreferredDayOfWeek,4.990105036739426
SatisfactionScore,4.74211776265222
RegMonth,4.508908532714206
BasketSizeCategory,4.418608340989264
AvgBasketValue,4.322322806351689
RegDay,4.1883588607503315
RegWeekday,3.1743462061236105
SupportTicketsCount,2.9848981919025523
PreferredTimeOfDay,2.430627054823301
WeekendPurchaseRatio,2.2188049884737864
MonetaryAvg,2.0333296119432926
AvgQuantityPerTransaction,1.733225241734883
ReturnRatio,1.2050912837696703
AvgDaysBetweenPurchases,1.1841910402192086
ZeroPriceCount,1.10220174179589
IP_IsPrivate,1.006536859168654
