feature,VIF
NegativeQuantityCount,inf
CancelledTransactions,inf
RegYear,840.1942932062426
UniqueCountries,597.8319147767651
MonetaryMin,419.5374458728262
MonetaryMax,417.6327887347024
PreferredHour,232.93275703017423
MaxQuantity,145.3185001991224
MinQuantity,119.6551430005632
MonetaryStd,105.90151751207289
DiversityPerTrans,71.40619482341607
AvgLinesPerInvoice,69.08347054322572
AvgProductsPerTransaction,62.15177938839056
Country_encoded,36.908977223888314
Age,21.876762384662893
UniqueProducts,20.990543551122407
PreferredTimeOfDay,18.47459102720542
TotalTransactions,9.580589491462561
AgeCategory,8.656021381316943
TotalQuantity,8.01117820012928
Frequency,7.732224228630542
MonetaryTotal,6.775033405856017
BasketSizeCategory,5.360974183734672
PreferredDayOfWeek,5.143422759326176
SatisfactionScore,5.054033688546528
MonetaryAvg,5.027999155905388
AvgBasketValue,5.024107967703235
RegMonth,4.783429773669585
RegDay,4.395458176753021
RegWeekday,3.31483624216598
AvgQuantityPerTransaction,3.2738971134950874
SupportTicketsCount,3.081824209129036
WeekendPurchaseRatio,2.2433501202719865
ReturnRatio,1.3863396399656118
AvgDaysBetweenPurchases,1.2090374638420636
ZeroPriceCount,1.1666080760957278
IP_IsPrivate,1.007787535714642
